LAPORAN HISTORIS PENGGUNAAN UTILITAS (LISTRIK DAN AIR)
Kawasan Industri Tunas Batam Centre
Periode Billing: Juni 2023 s/d Mei 2026

trx_id,tanggal,tenant_id,properti_id,pemakaian_listrik,pemakaian_air,service_charge_base
48,2023-06-24,48,28,7613.74,"1.729,37","Rp. 10.000.000,00"
49,2023-06-22,49,82,25902.9,"1.626,29","Rp. 7.500.000,00"
50,2023-06-22,50,100,"11.282,28","934,53","Rp. 5.000.000,00"
51,2023-06-22,51,235,"Rp. 30.002,32","2.152,96","Rp. 5.000.000,00"
52,2023-06-25,52,11,"23.747,92","1.260,23","Rp. 7.500.000,00"
53,2023-06-23,53,134,"28.007,96","2.876,97","Rp. 10.000.000,00"
54,2023-06-22,54,299,1046.02,73.09,"Rp. 2.500.000,00"
55,2023-06-24,55,125,"447.746,99","2.431,37","Rp. 10.000.000,00"
56,2023-06-23,56,43,"16.521,17","2.702,12",7500000
57,2023-06-21,57,224,"Rp. 30.908,39","884,93",10000000
58,2023-06-21,58,300,N/A,"122,70",2500000
59,2023-06-23,59,112,"24.373,66","1.331,10","Rp. 10.000.000,00"
60,2023-06-25,60,121,31547.55,"2.551,87","Rp. 5.000.000,00"
61,2023-06-22,61,154,39837.32,2924.89,5000000
62,2023-06-20,62,253,"-1.797,39",83.43,"Rp. 3.500.000,00"
63,2023-06-24,63,326,"Rp. 1.449,20","137,45","Rp. 1.500.000,00"
64,2023-06-22,64,131,Meteran Mati,"1.957,89","Rp. 5.000.000,00"
65,2023-06-25,65,5,"16.966,17","2.905,07",10000000
66,2023-06-24,66,53,"Rp. 5.323,92","2.662,67","Rp. 10.000.000,00"
67,2023-06-25,67,313,"1.560,04","119,77","Rp. 3.500.000,00"
68,2023-06-20,68,242,"13.031,79","2.466,28","Rp. 7.500.000,00"
69,2023-06-25,69,74,"43.660,01","2.650,35","Rp. 10.000.000,00"
70,2023-06-23,70,219,"Rp. 20.241,02",,"Rp. 7.500.000,00"
71,2023-06-24,71,6,"-17.087,61","1.520,74","Rp. 5.000.000,00"
72,2023-06-20,72,321,"Rp. 1.536,08","40,09",2500000
72,2023-06-22,73,271,"Rp. 861,20","137,22","Rp. 3.500.000,00"
74,2023-06-24,74,61,"Rp. 10.036,96","1.911,44",5000000
75,2023-06-23,75,136,"11.979,88",N/A,"Rp. 5.000.000,00"
76,2023-06-20,76,139,19481.56,,"Rp. 7.500.000,00"
77,2023-06-22,77,265,"Rp. 1.062,17","72,21","Rp. 3.500.000,00"
78,2023-06-23,78,126,"Rp. 28.895,67","1.237,24",10000000
79,2023-06-21,79,232,34184.5,"1.281,37","Rp. 7.500.000,00"
80,2023-06-20,80,31,28458.6,"1.903,97","Rp. 7.500.000,00"
81,2023-06-24,81,205,"13.509,55",2141.84,5000000
82,2023-06-20,82,47,"Rp. 27.269,59","2.022,49","Rp. 10.000.000,00"
83,2023-06-20,83,222,"Rp. 30.326,88",576.64,"Rp. 10.000.000,00"
84,2023-06-24,84,3,"15.884,11","2.154,85","Rp. 7.500.000,00"
85,2023-06-20,85,157,"Rp. 13.176,92","2.863,31",5000000
86,2023-06-24,86,160,"Rp. 34.681,65","1.590,55",7500000
87,2023-06-25,87,203,"32.584,40","1.404,63","Rp. 7.500.000,00"
88,2023-06-21,88,107,"Rp. 25.398,08","2.764,81","Rp. 7.500.000,00"
89,2023-06-22,89,153,"30.117,95","1.659,88","Rp. 10.000.000,00"
90,2023-06-23,90,250,28656.79,1379.86,"Rp. 5.000.000,00"
91,2023-06-25,91,48,"Rp. 43.169,26","2.347,30",5000000
92,2023-06-25,92,212,"30.845,08","597,86","Rp. 10.000.000,00"
93,2023-06-25,93,172,"Rp. 7.636,47","736,26","Rp. 10.000.000,00"
94,2023-06-25,94,78,20678.32,"1.987,60","Rp. 5.000.000,00"
95,2023-06-24,95,85,"Rp. 25.339,54","545,58","Rp. 7.500.000,00"
96,2023-06-25,96,39,"Rp. 40.347,29","594,37","Rp. 7.500.000,00"
97,2023-06-23,97,325,999.56,"57,04","Rp. 3.500.000,00"
98,2023-06-24,98,158,"16.270,87",1454.68,"Rp. 10.000.000,00"
99,2023-06-23,99,288,713.11,119.21,2500000
100,2023-06-21,100,14,"Rp. 14.431,12","2.986,31",7500000
101,2023-06-25,101,202,"-23.764,41","2.038,37","Rp. 5.000.000,00"
102,2023-06-24,102,293,"Rp. 306.150,29","34,41","Rp. 2.500.000,00"
103,2023-06-20,103,319,"321,82",,3500000
104,2023-06-23,104,236,"Rp. 7.702,38",1102.81,"Rp. 10.000.000,00"
105,2023-06-25,105,65,"-37.459,91",657.75,"Rp. 7.500.000,00"
106,2023-06-23,106,34,19278.97,"2.452,10",10000000
107,2023-06-25,107,1,"Rp. 36.891,64","1.166,80","Rp. 5.000.000,00"
108,2023-06-25,108,252,"Rp. 1.441,58","65,70","Rp. 1.500.000,00"
109,2023-06-22,109,181,"Rp. 43.111,58","856,95","Rp. 10.000.000,00"
110,2023-06-25,110,169,"8.075,42",844.24,"Rp. 7.500.000,00"
111,2023-06-25,111,204,44854.6,1213.94,7500000
112,23/06/2023,112,312,"Rp. 316,89",90.48,"Rp. 2.500.000,00"
113,2023-06-22,113,38,"27.160,86","1.422,28",10000000
114,2023-06-21,114,101,"Rp. 22.998,98",2200.27,"Rp. 7.500.000,00"
115,2023-06-24,115,260,"1.476,80","64,98","Rp. 3.500.000,00"
116,25/06/2023,116,183,"11.167,77","2.146,83","Rp. 10.000.000,00"
117,2023-06-22,117,83,"Rp. 40.559,88","1.863,94","Rp. 10.000.000,00"
118,2023-06-20,118,35,"Rp. 17.503,30","2.295,91","Rp. 10.000.000,00"
119,2023-06-22,119,123,"Rp. 42.815,40","2.660,41","Rp. 7.500.000,00"
120,2023-06-20,120,225,8601.96,"1.483,11","Rp. 7.500.000,00"
121,2023-06-25,121,228,"40.298,23","2.318,77","Rp. 7.500.000,00"
122,2023-06-23,122,120,"Rp. 10.146,54","741,70","Rp. 7.500.000,00"
123,2023-06-24,123,129,"10.957,63","2.732,83","Rp. 5.000.000,00"
124,2023-06-24,124,217,"37.629,95","1.420,89","Rp. 10.000.000,00"
125,2023-06-23,125,213,"Rp. 33.856,00","1.958,81","Rp. 5.000.000,00"
126,2023-06-24,126,304,"938,68","120,75","Rp. 2.500.000,00"
127,2023-06-22,127,246,"19.171,48","2.429,97",10000000
128,2023-06-21,128,307,"1.442,43",83.57,"Rp. 2.500.000,00"
129,2023-06-21,129,33,"16.505,21","2.285,35","Rp. 7.500.000,00"
130,2023-06-23,130,132,"Rp. 41.207,37","1.064,18",5000000
131,2023-06-21,131,173,"Rp. 35.236,44",1218.11,"Rp. 7.500.000,00"
132,2023-06-25,132,113,"Rp. 6.453,59",2590.51,"Rp. 7.500.000,00"
133,2023-06-25,133,49,"Rp. 24.756,50","2.846,40","Rp. 10.000.000,00"
134,2023-06-23,134,221,"12.019,80",2640.37,"Rp. 7.500.000,00"
135,2023-06-25,135,147,"Rp. 43.161,39","1.254,86","Rp. 10.000.000,00"
136,2023-06-24,136,327,1442.52,"103,03","Rp. 2.500.000,00"
137,2023-06-24,137,77,"Rp. 38.024,14","2.404,65","Rp. 10.000.000,00"
138,2023-06-20,138,283,496.17,"131,08","Rp. 2.500.000,00"
139,23/06/2023,139,220,"Rp. 31.910,71","1.270,42","Rp. 5.000.000,00"
140,2023-06-25,140,211,21354.68,2422.43,"Rp. 10.000.000,00"
141,2023-06-23,141,272,"Rp. 439,38",131.84,"Rp. 1.500.000,00"
142,2023-06-23,142,324,"Rp. 1.682,05","52,18","Rp. 2.500.000,00"
143,2023-06-24,143,239,"-33.131,45","621,69",10000000
144,2023-06-22,144,240,"Rp. 31.901,28","1.301,66","Rp. 7.500.000,00"
145,2023-06-20,145,141,"Rp. 31.853,70","2.464,51","Rp. 7.500.000,00"
146,2023-06-20,146,20,"Rp. 43.711,45","1.893,22","Rp. 5.000.000,00"
147,2023-06-25,147,149,12526.53,"2.404,24","Rp. 10.000.000,00"
148,2023-06-23,148,111,"24.156,84","1.106,48","Rp. 10.000.000,00"
149,2023-06-22,149,290,"1.966,37","81,03","Rp. 2.500.000,00"
150,2023-06-22,150,226,18194.61,"1.449,60","Rp. 5.000.000,00"
151,2023-06-25,118,188,33812.54,"1.720,79","Rp. 10.000.000,00"
151,2023-06-24,145,178,"Rp. 33.286,78","522,85","Rp. 10.000.000,00"
153,2023-06-22,26,133,"Rp. 26.429,52","1.216,72","Rp. 10.000.000,00"
154,2023-06-20,19,66,"Rp. 20.875,86","1.432,63","Rp. 7.500.000,00"
155,2023-06-24,138,274,1465.12,"30,75",2500000
156,2023-06-25,55,209,"Rp. 6.862,48",,"Rp. 7.500.000,00"
157,2023-06-25,130,216,"Rp. 42.155,00","1.248,19","Rp. 10.000.000,00"
158,2023-06-24,68,182,"7.147,86","1.592,72","Rp. 5.000.000,00"
159,2023-06-22,34,145,"22.273,92","2.199,24","Rp. 10.000.000,00"
160,2023-06-24,90,110,"8.660,82","2.857,40","Rp. 7.500.000,00"
161,2023-06-22,18,135,"Rp. 17.977,21","1.463,09","Rp. 7.500.000,00"
161,2023-06-23,63,273,"Rp. 313,88","76,51","Rp. 2.500.000,00"
163,2023-06-22,95,64,"Rp. 29.807,69","2.510,19","Rp. 7.500.000,00"
164,24/06/2023,73,291,1450.92,"83,83",3500000
165,2023-06-21,41,243,"34.088,53","2.857,44","Rp. 5.000.000,00"
166,2023-07-20,1,45,"36.563,07","684,91",10000000
167,2023-07-25,2,99,"14.929,24","2.161,73","Rp. 5.000.000,00"
168,2023-07-20,3,185,28220.73,"1.938,09","Rp. 7.500.000,00"
169,20/07/2023,4,124,"42.627,05","854,19","Rp. 7.500.000,00"
170,2023-07-25,5,122,"18.723,12","773,41","Rp. 5.000.000,00"
171,2023-07-24,6,168,"Rp. 20.823,30",,"Rp. 5.000.000,00"
172,2023-07-25,7,270,"Rp. 786,77","79,48",2500000
173,2023-07-21,8,10,"16.897,79","2.036,21","Rp. 5.000.000,00"
174,2023-07-23,9,289,"1.167,28",139.49,"Rp. 1.500.000,00"
175,2023-07-21,10,177,"Rp. 25.217,52","1.737,42","Rp. 10.000.000,00"
176,2023-07-23,11,198,"Rp. 27.626,02","2.431,37","Rp. 7.500.000,00"
177,2023-07-25,12,114,38202.83,"2.378,36",7500000
178,2023-07-22,13,4,"19.025,23","2.276,88","Rp. 10.000.000,00"
179,2023-07-22,14,52,"Rp. 15.693,72","2.645,04","Rp. 10.000.000,00"
180,2023-07-22,15,16,"Rp. 35.458,94","2.190,59","Rp. 7.500.000,00"
181,2023-07-22,16,90,"24.521,78","1.954,89","Rp. 10.000.000,00"
182,23/07/2023,17,210,"16.343,72","1.868,28",5000000
183,2023-07-21,18,86,"43.321,27","1.005,80","Rp. 10.000.000,00"
184,2023-07-23,19,116,"30.024,17","2.314,97","Rp. 5.000.000,00"
185,24/07/2023,20,22,"Rp. 24.108,01","1.072,37","Rp. 5.000.000,00"
186,2023-07-22,21,104,"Rp. 31.000,81","1.600,25","Rp. 10.000.000,00"
187,2023-07-21,22,106,17580.15,"849,58",7500000
188,2023-07-22,23,201,"Rp. 25.380,90","2.369,61",7500000
189,2023-07-23,24,244,"Rp. 39.432,56","1.920,95","Rp. 7.500.000,00"
190,2023-07-24,25,62,"Rp. 30.142,83","1.752,62","Rp. 7.500.000,00"
191,2023-07-20,26,30,"Rp. 28.457,49",2408.06,"Rp. 10.000.000,00"
192,2023-07-22,27,127,"-34.667,74",,"Rp. 5.000.000,00"
193,2023-07-21,28,223,"9.722,27","2.749,74","Rp. 7.500.000,00"
194,2023-07-20,29,73,Rusak,"757,26","Rp. 10.000.000,00"
195,2023-07-24,30,46,"Rp. 41.557,91","2.351,66",7500000
196,2023-07-23,31,322,"1.917,34","28,96","Rp. 2.500.000,00"
196,22/07/2023,32,175,"43.874,31","2.994,47","Rp. 5.000.000,00"
197,2023-07-21,33,214,31292.15,"2.622,51","Rp. 10.000.000,00"
199,2023-07-22,34,105,"Rp. 25.790,37","2.252,12",7500000
200,2023-07-23,35,297,"Rp. 1.866,88","71,08","Rp. 3.500.000,00"
201,2023-07-22,36,96,19331.5,"2.425,84","Rp. 7.500.000,00"
202,2023-07-20,37,67,"33.446,30","2.921,00","Rp. 7.500.000,00"
203,2023-07-21,38,165,"10.591,72",529.89,"Rp. 5.000.000,00"
204,2023-07-21,39,249,"22.737,25","821,98","Rp. 7.500.000,00"
205,2023-07-25,40,200,"Rp. -15.999,27","1.615,03","Rp. 5.000.000,00"
206,21/07/2023,41,79,"26.032,56","2.076,89","Rp. 10.000.000,00"
207,2023-07-21,42,284,"1.659,24","56,52","Rp. 2.500.000,00"
208,2023-07-21,43,80,"44.306,59",1471.06,"Rp. 5.000.000,00"
209,2023-07-22,44,13,"Rp. 37.416,05","2.925,97","Rp. 10.000.000,00"
210,2023-07-23,45,311,"1.853,81",129.76,"Rp. 2.500.000,00"
211,2023-07-22,46,197,"18.462,44","1.306,51","Rp. 5.000.000,00"
212,2023-07-24,47,150,"16.780,69",944.27,5000000
213,2023-07-20,48,28,"24.847,40","1.327,92","Rp. 5.000.000,00"
214,2023-07-25,49,82,"36.480,80","2.301,03","Rp. 5.000.000,00"
215,2023-07-24,50,100,"Rp. 14.023,31","1.628,22",5000000
216,2023-07-24,51,235,"Rp. 40.729,05","2.261,26","Rp. 7.500.000,00"
216,2023-07-21,52,11,"16.260,92",Rusak,"Rp. 5.000.000,00"
218,2023-07-20,53,134,"Rp. 44.082,31","1.683,93","Rp. 5.000.000,00"
219,2023-07-20,54,299,1037.1,"49,41","Rp. 2.500.000,00"
220,2023-07-25,55,125,"Rp. 37.736,21","1.546,58",10000000
221,2023-07-24,56,43,"10.897,91","2.873,14",7500000
222,2023-07-23,57,224,41432.18,"2.785,43","Rp. 5.000.000,00"
223,2023-07-24,58,300,"469,36",93.66,"Rp. 3.500.000,00"
224,2023-07-20,59,112,"Rp. 6.498,63","1.188,54",5000000
225,2023-07-21,60,121,"36.746,08","1.277,37","Rp. 7.500.000,00"
226,2023-07-20,61,154,"41.537,31","1.517,93",7500000
227,2023-07-20,62,253,1775.33,"46,09","Rp. 1.500.000,00"
228,2023-07-21,63,326,"1.079,82","77,99","Rp. 2.500.000,00"
228,2023-07-22,64,131,"Rp. 30.895,20","2.194,24","Rp. 7.500.000,00"
230,2023-07-22,65,5,"42.720,20","2.281,85","Rp. 10.000.000,00"
231,2023-07-20,66,53,"28.750,90","1.206,69","Rp. 10.000.000,00"
232,2023-07-24,67,313,"1.644,25",,"Rp. 3.500.000,00"
233,2023-07-21,68,242,"27.881,70",974.79,10000000
234,2023-07-22,69,74,"23.831,23","2.352,30",10000000
235,2023-07-22,70,219,28422.83,"1.659,40",5000000
236,2023-07-21,71,6,39833.97,"876,95","Rp. 5.000.000,00"
237,23/07/2023,72,321,"304,42","78,77","Rp. 1.500.000,00"
238,2023-07-21,73,271,Rusak,"114,99","Rp. 1.500.000,00"
239,2023-07-21,74,61,"Rp. 25.133,46","1.265,29",5000000
240,2023-07-25,75,136,"41.275,77","2.530,02","Rp. 5.000.000,00"
241,2023-07-25,76,139,"26.389,34",,"Rp. 5.000.000,00"
242,2023-07-20,77,265,"Rp. 1.451,35","101,94","Rp. 2.500.000,00"
243,2023-07-20,78,126,29360.07,"2.444,90","Rp. 10.000.000,00"
244,2023-07-22,79,232,41275.2,"2.588,08","Rp. 10.000.000,00"
245,2023-07-25,80,31,8992.36,936.75,"Rp. 5.000.000,00"
246,2023-07-23,81,205,"19.301,10","1.594,29","Rp. 10.000.000,00"
247,2023-07-20,82,47,"36.876,38","782,64","Rp. 10.000.000,00"
248,2023-07-24,83,222,"Rp. 40.198,01","2.318,20","Rp. 5.000.000,00"
249,2023-07-24,84,3,"13.959,40","2.889,40",7500000
250,2023-07-23,85,157,30735.95,"892,32","Rp. 7.500.000,00"
251,2023-07-20,86,160,"Rp. 8.153,22","1.610,47","Rp. 10.000.000,00"
252,2023-07-24,87,203,43526.85,2093.85,"Rp. 10.000.000,00"
253,20/07/2023,88,107,"31.286,69",,"Rp. 5.000.000,00"
254,2023-07-22,89,153,11566.21,"851,12",10000000
255,2023-07-23,90,250,"21.578,81","2.816,57","Rp. 10.000.000,00"
256,2023-07-25,91,48,"24.317,28","1.770,83","Rp. 5.000.000,00"
257,2023-07-21,92,212,"15.943,84","2.908,98",7500000
258,2023-07-25,93,172,"Rp. 33.575,38","2.216,53","Rp. 10.000.000,00"
259,2023-07-21,94,78,"Rp. 31.969,74",Rusak,"Rp. 10.000.000,00"
260,2023-07-25,95,85,"Rp. 32.335,61","866,07","Rp. 5.000.000,00"
261,2023-07-21,96,39,"Rp. 31.579,74","2.816,21","Rp. 7.500.000,00"
262,23/07/2023,97,325,"Rp. 1.468,33","104,19","Rp. 3.500.000,00"
263,2023-07-25,98,158,"16.164,49","1.160,60","Rp. 5.000.000,00"
264,2023-07-21,99,288,"1.621,83","91,52","Rp. 1.500.000,00"
265,2023-07-24,100,14,"Rp. 18.242,66",Tanpa Catatan,10000000
266,2023-07-23,101,202,6595.09,2714.15,"Rp. 7.500.000,00"
267,2023-07-25,102,293,"Rp. 733,58","104,70","Rp. 2.500.000,00"
268,2023-07-20,103,319,"Rp. 387,07","89,91","Rp. 3.500.000,00"
269,2023-07-25,104,236,"Rp. 15.076,32","676,11","Rp. 5.000.000,00"
270,2023-07-21,105,65,"33.035,28",681.47,"Rp. 10.000.000,00"
270,2023-07-24,106,34,20639.7,"2.493,71",10000000
272,2023-07-21,107,1,"6.670,93",1931.8,7500000
273,2023-07-25,108,252,"Rp. 1.702,55","45,26","Rp. 1.500.000,00"
274,2023-07-22,109,181,"43.061,60","1.392,85","Rp. 10.000.000,00"
275,2023-07-24,110,169,"11.745,58","1.283,04","Rp. 5.000.000,00"
276,2023-07-24,111,204,"Rp. 30.822,06",704.93,7500000
277,2023-07-21,112,312,"Rp. 1.584,56",47.66,"Rp. 1.500.000,00"
278,2023-07-25,113,38,"Rp. -25.416,48","1.491,96","Rp. 10.000.000,00"
279,2023-07-20,114,101,"-10.847,96","2.330,01",7500000
280,2023-07-24,115,260,"783,33","111,49","Rp. 3.500.000,00"
281,2023-07-22,116,183,"Rp. 43.906,96","1.057,25","Rp. 7.500.000,00"
282,2023-07-20,117,83,"12.476,23","1.405,56","Rp. 10.000.000,00"
282,2023-07-25,118,35,"10.115,40","1.980,87","Rp. 5.000.000,00"
284,2023-07-25,119,123,"Rp. 37.852,13","2.868,13","Rp. 5.000.000,00"
285,2023-07-24,120,225,23138.81,,"Rp. 5.000.000,00"
286,2023-07-25,121,228,24034.77,"2.036,87","Rp. 5.000.000,00"
287,2023-07-20,122,120,"Rp. 25.881,77","1.425,94","Rp. 5.000.000,00"
288,2023-07-22,123,129,"-40.070,65",,"Rp. 5.000.000,00"
289,2023-07-22,124,217,"Rp. 9.263,33","1.565,18","Rp. 10.000.000,00"
290,2023-07-24,125,213,"24.350,41","2.971,27",10000000
291,2023-07-22,126,304,809.19,"91,57","Rp. 3.500.000,00"
292,2023-07-25,127,246,"Rp. 8.201,59","594,39","Rp. 7.500.000,00"
293,2023-07-25,128,307,"Rp. 1.132,68","45,32","Rp. 3.500.000,00"
294,2023-07-21,129,33,"28.443,21",1794.36,"Rp. 10.000.000,00"
295,2023-07-24,130,132,21158.26,511.63,5000000
296,2023-07-21,131,173,"Rp. 22.710,75","1.442,70","Rp. 7.500.000,00"
297,2023-07-22,132,113,432870.82,"1.289,33",7500000
298,2023-07-24,133,49,27948.5,"956,96","Rp. 10.000.000,00"
299,2023-07-24,134,221,"36.157,54","799,70","Rp. 5.000.000,00"
300,2023-07-21,135,147,"Rp. 24.632,21","2.960,99","Rp. 10.000.000,00"
301,2023-07-22,136,327,"184.300,95","87,37","Rp. 2.500.000,00"
302,2023-07-23,137,77,"Rp. 21.957,72","1.547,73",7500000
303,24/07/2023,138,283,"1.640,07","116,01","Rp. 2.500.000,00"
304,2023-07-25,139,220,"8.958,99","908,35","Rp. 5.000.000,00"
305,2023-07-25,140,211,"12.958,32",1939.74,"Rp. 10.000.000,00"
306,2023-07-25,141,272,"1.762,86","103,28","Rp. 2.500.000,00"
307,2023-07-20,142,324,"Rp. 1.797,85","121,53",2500000
308,2023-07-25,143,239,"258.805,01","738,88","Rp. 7.500.000,00"
309,2023-07-24,144,240,"26.069,69","926,52","Rp. 5.000.000,00"
310,2023-07-22,145,141,"Rp. 28.903,37",2077.62,"Rp. 10.000.000,00"
310,2023-07-23,146,20,5422.23,,"Rp. 5.000.000,00"
312,2023-07-25,147,149,"28.880,15",2491.92,"Rp. 10.000.000,00"
313,2023-07-24,148,111,35581.53,"2.774,89","Rp. 10.000.000,00"
314,2023-07-23,149,290,"-1.460,85","83,96","Rp. 2.500.000,00"
315,2023-07-23,150,226,21809.72,"2.464,31","Rp. 7.500.000,00"
316,2023-07-25,118,188,"Rp. 40.827,96","1.125,20","Rp. 7.500.000,00"
317,2023-07-25,145,178,"23.913,02","2.203,61","Rp. 7.500.000,00"
318,2023-07-21,26,133,-9517.14,"2.082,27","Rp. 7.500.000,00"
319,2023-07-21,19,66,"Rp. 8.579,20","894,25","Rp. 5.000.000,00"
320,2023-07-25,138,274,"Rp. 1.205,03","103,80","Rp. 2.500.000,00"
321,23/07/2023,55,209,"Rp. 27.668,07","1.859,05",7500000
322,2023-07-21,130,216,"30.521,04","1.447,61","Rp. 5.000.000,00"
323,20/07/2023,68,182,"Rp. 17.904,00",,"Rp. 5.000.000,00"
324,2023-07-23,34,145,"Rp. 30.670,07","1.471,50",7500000
325,2023-07-20,90,110,"7.428,01","1.895,05","Rp. 7.500.000,00"
326,2023-07-20,18,135,"26.266,44","973,65","Rp. 10.000.000,00"
327,2023-07-25,63,273,"524,71",72.2,"Rp. 2.500.000,00"
328,22/07/2023,95,64,"Rp. 14.628,90",1864.07,"Rp. 7.500.000,00"
329,2023-07-22,73,291,"Rp. -1.971,91","47,93","Rp. 2.500.000,00"
330,2023-07-20,41,243,"Rp. 28.286,23","1.082,49",7500000
331,2023-08-24,1,45,"Rp. 17.015,73",2326.97,"Rp. 10.000.000,00"
332,2023-08-24,2,99,"Rp. 30.355,48","2.080,48",5000000
333,2023-08-21,3,185,"8.603,32","1.579,84","Rp. 7.500.000,00"
334,2023-08-23,4,124,"12.924,34","1.488,30","Rp. 10.000.000,00"
335,2023-08-21,5,122,18932.31,"1.301,85","Rp. 10.000.000,00"
336,2023-08-23,6,168,19952.83,"2.394,33","Rp. 5.000.000,00"
337,2023-08-22,7,270,"Rp. 797,38","116,20",1500000
338,2023-08-25,8,10,"16.360,54",2472.97,"Rp. 10.000.000,00"
338,2023-08-24,9,289,"1.963,63","86,11","Rp. 3.500.000,00"
340,2023-08-20,10,177,"Rp. 24.597,31","2.360,98",5000000
341,2023-08-22,11,198,"Rp. 42.964,66","1.063,96","Rp. 7.500.000,00"
342,2023-08-25,12,114,"Rp. 18.171,39","1.855,58",5000000
343,2023-08-23,13,4,"41.684,48",1293.74,"Rp. 10.000.000,00"
344,2023-08-21,14,52,"37.867,94","2.092,12","Rp. 10.000.000,00"
344,2023-08-20,15,16,"19.370,45","2.220,35","Rp. 7.500.000,00"
346,2023-08-21,16,90,43007.92,"1.056,39","Rp. 10.000.000,00"
347,2023-08-20,17,210,"Rp. 36.048,59","2.019,82","Rp. 7.500.000,00"
348,2023-08-22,18,86,"-14.828,87","1.844,67","Rp. 10.000.000,00"
348,2023-08-23,19,116,"Rp. 7.181,87","1.792,42","Rp. 5.000.000,00"
350,2023-08-24,20,22,"Rp. 33.505,38","1.004,83","Rp. 7.500.000,00"
351,2023-08-20,21,104,"Rp. 34.074,95","2.937,98","Rp. 10.000.000,00"
352,2023-08-20,22,106,"17.380,73",N/A,7500000
353,2023-08-20,23,201,"Rp. 24.738,67","1.042,18","Rp. 10.000.000,00"
354,2023-08-24,24,244,"6.297,28",,"Rp. 10.000.000,00"
