LAPORAN DATA TENANT KAWASAN INDUSTRI TUNAS BATAM
Periode Ekspor Laporan: Mei 2026

tenant_id,nama_perusahaan,sektor_industri,asal_negara
49,PD Saputra Uyainah (Persero) Tbk Batam,LOGISTIK ,Indonesia (Lokal Batam)
50,PT Pradana (Persero) Tbk Batam,Logistik,Indonesia (Lokal Batam)
51,PT Sihotang Indonesia,Manufaktur,Korea Selatan
52,PT Wacana Indonesia,Logistik,Korea Selatan
53,PT Santoso Indonesia,Plastik & Molding,Korea Selatan
54,PT Haryanto Indonesia,Jasa & Ritel,Jepang
55,PT Prabowo Indonesia,Otomotif,Malaysia
56,CV Yolanda Tbk Batam,Marine/Shipyard,Indonesia (Lokal Batam)
57,PD Megantara Saptono (Persero) Tbk Batam,Manufaktur,Indonesia (Lokal Batam)
58,Perum Nasyiah Saptono Batam,Jasa & Ritel,Indonesia (Lokal Batam)
59,PT Padmasari Indonesia,Otomotif,Singapura
60,Perum Wacana Tarihoran (Persero) Tbk Batam,Logistik,Indonesia (Lokal Batam)
61,Perum Lailasari Iswahyudi Batam,Plastik & Molding,Indonesia (Lokal Batam)
62,PT Mangunsong Batam,Jasa & Ritel,Indonesia (Lokal Batam)
63,PT Utami Indonesia,Jasa & Ritel,Singapura
64,PT Manullang Indonesia,Logistik,Jepang
65,PT Zulaika Indonesia,Manufaktur,Jepang
66,PT Anggraini Indonesia,Otomotif,Malaysia
67,PT Riyanti Indonesia,Jasa & Ritel,Korea Selatan
68,PT Haryanto Indonesia,Logistik,Malaysia
69,PT Winarno Indonesia,Marine/Shipyard,Korea Selatan
70,PT Wibowo Indonesia,Manufaktur,Korea Selatan
71,PT Riyanti Indonesia,Plastik & Molding,Singapura
72,PT Hastuti Indonesia,Jasa & Ritel,Singapura
73,PT Nuraini Indonesia,Jasa & Ritel,Singapura
74,PT Ramadan Indonesia,Plastik & Molding,Singapura
75,PT Puspasari Indonesia,Manufaktur,Jepang
76,PT Anggriawan Indonesia,Elektronik,Malaysia
77,PT Zulaika Indonesia,Logistik,Malaysia
78,PT Latupono Indonesia,Elektronik,Jepang
79,UD Kusumo Tbk Batam,Manufaktur,Indonesia (Lokal Batam)
80,CV Hasanah Adriansyah Tbk Batam,Manufaktur,Indonesia (Lokal Batam)
81,PT Mardhiyah Indonesia,Logistik,Malaysia
82,PT Nugroho Indonesia,Elektronik,Malaysia
83,PT Mayasari Indonesia,Marine/Shipyard,Malaysia
84,PT Kurniawan Indonesia,Marine/Shipyard,Korea Selatan
85,PT Utami Indonesia,Elektronik,Taiwan
86,Perum Sudiati (Persero) Tbk Batam,Elektronik,Indonesia (Lokal Batam)
87,PT Mangunsong Indonesia,Logistik,Malaysia
88,PT Wahyudin Indonesia,Elektronik,Singapura
89,PT Marpaung Indonesia,Plastik & Molding,Jepang
90,Perum Sinaga Batam,Manufaktur,Indonesia (Lokal Batam)
91,PT Kusumo Tarihoran Tbk Batam,Manufaktur,Indonesia (Lokal Batam)
92,PT Permadi Indonesia,Elektronik,Singapura
93,PT Hakim Indonesia,Otomotif,Korea Selatan
94,PT Permadi Indonesia,Marine/Shipyard,Singapura
95,PT Purnawati Indonesia,Plastik & Molding,Korea Selatan
96,PT Hutapea Indonesia,Elektronik,Malaysia
97,PD Hidayat Batam,Jasa & Ritel,Indonesia (Lokal Batam)
98,PT Nasyidah Indonesia,Logistik,Taiwan
99,PT Mahendra Indonesia,Jasa & Ritel,Jepang
100,PT Mahendra Indonesia,Logistik,Singapura
101,Perum Marbun Saptono Tbk Batam,Otomotif,Indonesia (Lokal Batam)
102,PT Prabowo Indonesia,Jasa & Ritel,Jepang
103,PT Namaga Indonesia,Jasa & Ritel,Singapura
104,PT Pangestu Indonesia,Manufaktur,Jepang
105,PT Saragih Indonesia,Logistik,Singapura
106,PT Wacana Indonesia,Elektronik,Singapura
107,PT Winarsih Indonesia,Otomotif,Malaysia
108,PT Yulianti Indonesia,Jasa & Ritel,Malaysia
109,,Marine/Shipyard,Korea Selatan
110,PT Farida Indonesia,Elektronik,Singapura
111,PT Prayoga Prasetyo (Persero) Tbk Batam,Manufaktur,Indonesia (Lokal Batam)
112,PT Sirait Indonesia,Jasa & Ritel,Malaysia
113,PT Damanik Indonesia,Manufaktur,Jepang
114,PT Rahmawati Indonesia,Manufaktur,Taiwan
115,PT Puspasari Indonesia,Jasa & Ritel,Korea Selatan
116,PT Pradana Indonesia,Marine/Shipyard,Taiwan
117,PT Rahmawati Indonesia,Marine/Shipyard,Malaysia
118,PT Prasetya Indonesia,Manufaktur,Taiwan
119,PT Ardianto Indonesia,Marine/Shipyard,Jepang
120,PT Hidayanto Indonesia,Plastik & Molding,Singapura
121,PT Usamah Indonesia,Otomotif,Taiwan
122,PT Halim Indonesia,Plastik & Molding,Malaysia
123,PT Pradana Indonesia,Elektronik,Malaysia
124,PT Hidayat Indonesia,Plastik & Molding,Taiwan
125,PT Firmansyah Indonesia,Marine/Shipyard,Singapura
126,PT Sitompul Indonesia,Jasa & Ritel,Taiwan
127,PT Hidayanto Indonesia,Plastik & Molding,Taiwan
128,PT Mulyani Indonesia,Jasa & Ritel,Singapura
129,PT Prakasa Indonesia,LOGISTIK ,Singapura
130,PT Setiawan Indonesia,Otomotif,Korea Selatan
131,PT Winarsih Indonesia,Otomotif,Taiwan
132,PT Laksita Indonesia,Otomotif,Jepang
133,Perum Mustofa Pertiwi Batam,Marine/Shipyard,Indonesia (Lokal Batam)
134,PT Permata Indonesia,Manufaktur,Jepang
135,PT Kusmawati Indonesia,Marine/Shipyard,Korea Selatan
136,PD Wasita Nainggolan Batam,Jasa & Ritel,Indonesia (Lokal Batam)
137,PT Kuswoyo Indonesia,Marine/Shipyard,Korea Selatan
138,PT Kuswoyo Indonesia,Jasa & Ritel,Jepang
139,PT Wahyuni Indonesia,Plastik & Molding,Jepang
140,PT Astuti Indonesia,Logistik,Taiwan
141,PT Thamrin Indonesia,Jasa & Ritel,Singapura
142,PT Anggraini Indonesia,Jasa & Ritel,Korea Selatan
143,PD Habibi Wulandari (Persero) Tbk Batam,Otomotif,Indonesia (Lokal Batam)
144,PT Halim Indonesia,Elektronik,Malaysia
145,PT Waskita Indonesia,Logistik,Singapura
146,PT Prayoga (Persero) Tbk Batam,Logistik,Indonesia (Lokal Batam)
147,PT Nainggolan Indonesia,Otomotif,Jepang
148,,Otomotif,Korea Selatan
149,,Jasa & Ritel,Korea Selatan
150,PT Mandala Indonesia,Elektronik,Malaysia

--- AKHIR LAPORAN TENANT ---
Total Tenant Terdaftar: 150
Dicetak secara otomatis oleh sistem master data.
